Наименование,Номер документа,Принят,Опубликован,Источник,Принявший орган,Номер опубликования,Имя файла
"Об утверждении порядка поступления ответственному за координацию работы по вопросам профилактики и противодействия коррупции в органах местного самоуправления городского округа Краснотурьинск обращений и заявлений, являющихся основанием для проведения комиссии по соблюдению требований к служебному поведению муниципальных служащих и урегулированию конфликта интересов в городском округе Краснотурьинск",проект,2024-07-26,2024-07-26,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5720,ОКиМС Постановление Главы (нормативное) _б утверждении порядка поступления ответственному за координацию р.docx
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 09.02.2024 № 01-01/119 «О финансовом обеспечении организации отдыха детей в каникулярное время, включая мероприятия по обеспечению безопасности их жизни и здоровья, в санаторно-курортных организациях (санаториях, санаторных оздоровительных лагерях круглогодичного действия), оздоровительных лагерях с дневным пребыванием детей, лагере труда и отдыха, загородном оздоровительном лагере в 2024 году»",проект,2024-07-26,2024-07-26,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5721,УО постановление финансовое оздоровление в каникулы_изм5.docx
О проведении конкурсного отбора инициативных проектов на территории городского округа Краснотурьинск в 2024-2025 годах,01-01/548,2024-07-26,2024-07-26,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5722,№ 01-01-548.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 02.11.2018 № 1219 «Об определении перечня предприятий и учреждений для организации исполнения административных наказаний в виде обязательных работ в отношении должников по исполнительным производствам, проживающих на территории городского округа Краснотурьинск»",01-01/549,2024-07-26,2024-07-26,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5723,№ 01-01-549.pdf
"Об утверждении порядка поступления ответственному за координацию работы по вопросам профилактики и противодействия коррупции в органах местного самоуправления городского округа Краснотурьинск обращений и заявлений, являющихся основанием для проведения комиссии по соблюдению требований к служебному поведению муниципальных служащих и урегулированию конфликта интересовв городском округе Краснотурьинск",01-03/32,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5727,№ 01-03-32.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 02.11.2018 № 1218 «Об определении перечня предприятий и учреждений для организации исполнения уголовных наказаний в виде исправительных и обязательных работ в отношении осужденных, проживающих на территории городского округа Краснотурьинск»",01-01/573,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5728,№ 01-01-573.pdf
"Об утверждении порядка поступления ответственному за координацию работы по вопросам профилактики и противодействия коррупции в органах местного самоуправления городского округа Краснотурьинск обращений и заявлений, являющихся основанием для проведения комиссии по соблюдению требований к служебному поведению муниципальных служащих и урегулированию конфликта интересовв городском округе Краснотурьинск",01-03/32,2024-07-31,2024-07-31,Глава городского округа Краснотурьинск,Глава городского округа Краснотурьинск,5729,№ 01-03-32.pdf
О подготовке и проведении спортивного праздника День физкультурника,01-01/571,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5730,№ 01-01-571.pdf
"О внесении изменений в муниципальную программу «Профилактика правонарушений, экстремизма и терроризма на территории городского округа Краснотурьинск до 2027 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 08.02.2018 № 133",01-01/570,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5731,№ 01-01-570.pdf
"О внесении изменений в муниципальную программу «Обеспечение рационального, безопасного природопользования и развития лесного хозяйства на территории городского округа Краснотурьинскдо 2027 года», утвержденную постановлением Администрации городского округа Краснотурьинск от 07.06.2023 № 01-01/442",01-01/569,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5732,№ 01-01-569.pdf
"О внесении изменений в постановление Администрации городского округа Краснотурьинск от 09.02.2024 № 01-01/119 «О финансовом обеспечении организации отдыха детей в каникулярное время, включая мероприятия по обеспечению безопасности их жизни и здоровья, в санаторно-курортных организациях (санаториях, санаторных оздоровительных лагерях круглогодичного действия), оздоровительных лагеряхс дневным пребыванием детей, лагере труда и отдыха, загородном оздоровительном лагере в 2024 году»",01-01/568,2024-07-31,2024-07-31,Администрация городского округа Краснотурьинск,Администрация городского округа Краснотурьинск,5733,№ 01-01-568.pdf
